segment_id,recording_id,speaker_group_id,dataset_split,segmentation_version,start_seconds,end_seconds,duration_seconds,audio_path,review_status,transcription
REC010_SEG0001,REC010,SPK001,train,vad_v1,0.12,1.232,1.112,data/processed/segments/REC010/REC010_SEG0001.wav,included,
REC010_SEG0002,REC010,SPK001,train,vad_v1,1.232,16.048,14.816,data/processed/segments/REC010/REC010_SEG0002.wav,included,
REC010_SEG0003,REC010,SPK001,train,vad_v1,16.048,21.696,5.648,data/processed/segments/REC010/REC010_SEG0003.wav,included,
REC010_SEG0004,REC010,SPK001,train,vad_v1,21.696,36.192,14.496,data/processed/segments/REC010/REC010_SEG0004.wav,included,
REC010_SEG0005,REC010,SPK001,train,vad_v1,36.192,48.448,12.256,data/processed/segments/REC010/REC010_SEG0005.wav,included,
REC010_SEG0006,REC010,SPK001,train,vad_v1,48.448,55.176,6.728,data/processed/segments/REC010/REC010_SEG0006.wav,included,
REC010_SEG0007,REC010,SPK001,train,vad_v1,55.512,64.648,9.136,data/processed/segments/REC010/REC010_SEG0007.wav,included,
REC010_SEG0008,REC010,SPK001,train,vad_v1,64.664,73.968,9.304,data/processed/segments/REC010/REC010_SEG0008.wav,included,
REC010_SEG0009,REC010,SPK001,train,vad_v1,73.968,83.72,9.752,data/processed/segments/REC010/REC010_SEG0009.wav,included,
REC010_SEG0010,REC010,SPK001,train,vad_v1,84.152,88.904,4.752,data/processed/segments/REC010/REC010_SEG0010.wav,included,
REC010_SEG0011,REC010,SPK001,train,vad_v1,90.104,96.456,6.352,data/processed/segments/REC010/REC010_SEG0011.wav,included,
REC010_SEG0012,REC010,SPK001,train,vad_v1,96.696,105.864,9.168,data/processed/segments/REC010/REC010_SEG0012.wav,included,
REC010_SEG0013,REC010,SPK001,train,vad_v1,105.976,114.984,9.008,data/processed/segments/REC010/REC010_SEG0013.wav,included,
REC010_SEG0014,REC010,SPK001,train,vad_v1,116.024,120.68,4.656,data/processed/segments/REC010/REC010_SEG0014.wav,included,
REC010_SEG0015,REC010,SPK001,train,vad_v1,121.112,133.0,11.888,data/processed/segments/REC010/REC010_SEG0015.wav,included,
REC010_SEG0016,REC010,SPK001,train,vad_v1,134.136,139.08,4.944,data/processed/segments/REC010/REC010_SEG0016.wav,included,
REC010_SEG0017,REC010,SPK001,train,vad_v1,139.608,153.936,14.328,data/processed/segments/REC010/REC010_SEG0017.wav,included,
REC010_SEG0018,REC010,SPK001,train,vad_v1,153.936,164.864,10.928,data/processed/segments/REC010/REC010_SEG0018.wav,included,
REC010_SEG0019,REC010,SPK001,train,vad_v1,164.864,173.0,8.136,data/processed/segments/REC010/REC010_SEG0019.wav,included,
REC010_SEG0020,REC010,SPK001,train,vad_v1,173.176,181.64,8.464,data/processed/segments/REC010/REC010_SEG0020.wav,included,
REC010_SEG0021,REC010,SPK001,train,vad_v1,181.656,189.896,8.24,data/processed/segments/REC010/REC010_SEG0021.wav,included,
REC010_SEG0022,REC010,SPK001,train,vad_v1,190.328,204.864,14.536,data/processed/segments/REC010/REC010_SEG0022.wav,included,
REC010_SEG0023,REC010,SPK001,train,vad_v1,204.864,213.32,8.456,data/processed/segments/REC010/REC010_SEG0023.wav,included,
REC010_SEG0024,REC010,SPK001,train,vad_v1,213.976,223.624,9.648,data/processed/segments/REC010/REC010_SEG0024.wav,included,
REC010_SEG0025,REC010,SPK001,train,vad_v1,223.896,229.8,5.904,data/processed/segments/REC010/REC010_SEG0025.wav,included,
REC010_SEG0026,REC010,SPK001,train,vad_v1,231.096,241.608,10.512,data/processed/segments/REC010/REC010_SEG0026.wav,included,
REC010_SEG0027,REC010,SPK001,train,vad_v1,242.648,248.008,5.36,data/processed/segments/REC010/REC010_SEG0027.wav,included,
REC010_SEG0028,REC010,SPK001,train,vad_v1,248.76,259.752,10.992,data/processed/segments/REC010/REC010_SEG0028.wav,included,
REC010_SEG0029,REC010,SPK001,train,vad_v1,260.248,263.752,3.504,data/processed/segments/REC010/REC010_SEG0029.wav,included,
REC010_SEG0030,REC010,SPK001,train,vad_v1,264.12,278.088,13.968,data/processed/segments/REC010/REC010_SEG0030.wav,included,
REC010_SEG0031,REC010,SPK001,train,vad_v1,278.552,279.496,0.944,data/processed/segments/REC010/REC010_SEG0031.wav,included,
REC010_SEG0032,REC010,SPK001,train,vad_v1,280.728,285.256,4.528,data/processed/segments/REC010/REC010_SEG0032.wav,included,
REC010_SEG0033,REC010,SPK001,train,vad_v1,285.976,300.424,14.448,data/processed/segments/REC010/REC010_SEG0033.wav,included,
REC010_SEG0034,REC010,SPK001,train,vad_v1,300.568,312.712,12.144,data/processed/segments/REC010/REC010_SEG0034.wav,included,
REC010_SEG0035,REC010,SPK001,train,vad_v1,313.304,326.888,13.584,data/processed/segments/REC010/REC010_SEG0035.wav,included,
REC010_SEG0036,REC010,SPK001,train,vad_v1,327.928,331.24,3.312,data/processed/segments/REC010/REC010_SEG0036.wav,included,
REC010_SEG0037,REC010,SPK001,train,vad_v1,331.8,345.64,13.84,data/processed/segments/REC010/REC010_SEG0037.wav,included,
REC010_SEG0038,REC010,SPK001,train,vad_v1,345.752,348.392,2.64,data/processed/segments/REC010/REC010_SEG0038.wav,included,
REC010_SEG0039,REC010,SPK001,train,vad_v1,348.728,362.32,13.592,data/processed/segments/REC010/REC010_SEG0039.wav,included,
REC010_SEG0040,REC010,SPK001,train,vad_v1,362.32,365.0,2.68,data/processed/segments/REC010/REC010_SEG0040.wav,included,
REC010_SEG0041,REC010,SPK001,train,vad_v1,366.2,372.936,6.736,data/processed/segments/REC010/REC010_SEG0041.wav,included,
REC010_SEG0042,REC010,SPK001,train,vad_v1,373.4,381.704,8.304,data/processed/segments/REC010/REC010_SEG0042.wav,included,
REC010_SEG0043,REC010,SPK001,train,vad_v1,381.752,389.832,8.08,data/processed/segments/REC010/REC010_SEG0043.wav,included,
REC010_SEG0044,REC010,SPK001,train,vad_v1,390.712,397.256,6.544,data/processed/segments/REC010/REC010_SEG0044.wav,included,
REC010_SEG0045,REC010,SPK001,train,vad_v1,397.784,406.056,8.272,data/processed/segments/REC010/REC010_SEG0045.wav,included,
REC010_SEG0046,REC010,SPK001,train,vad_v1,406.84,414.568,7.728,data/processed/segments/REC010/REC010_SEG0046.wav,included,
REC010_SEG0047,REC010,SPK001,train,vad_v1,415.224,426.248,11.024,data/processed/segments/REC010/REC010_SEG0047.wav,included,
REC010_SEG0048,REC010,SPK001,train,vad_v1,427.224,428.232,1.008,data/processed/segments/REC010/REC010_SEG0048.wav,included,
REC010_SEG0049,REC010,SPK001,train,vad_v1,431.864,433.576,1.712,data/processed/segments/REC010/REC010_SEG0049.wav,included,
REC010_SEG0050,REC010,SPK001,train,vad_v1,434.616,436.832,2.216,data/processed/segments/REC010/REC010_SEG0050.wav,included,
REC010_SEG0051,REC010,SPK001,train,vad_v1,436.832,449.856,13.024,data/processed/segments/REC010/REC010_SEG0051.wav,included,
REC010_SEG0052,REC010,SPK001,train,vad_v1,449.856,457.832,7.976,data/processed/segments/REC010/REC010_SEG0052.wav,included,
REC010_SEG0053,REC010,SPK001,train,vad_v1,457.944,466.92,8.976,data/processed/segments/REC010/REC010_SEG0053.wav,included,
REC010_SEG0054,REC010,SPK001,train,vad_v1,467.448,473.832,6.384,data/processed/segments/REC010/REC010_SEG0054.wav,included,
REC010_SEG0055,REC010,SPK001,train,vad_v1,475.096,477.64,2.544,data/processed/segments/REC010/REC010_SEG0055.wav,included,
REC010_SEG0056,REC010,SPK001,train,vad_v1,478.776,488.744,9.968,data/processed/segments/REC010/REC010_SEG0056.wav,included,
REC010_SEG0057,REC010,SPK001,train,vad_v1,489.784,496.904,7.12,data/processed/segments/REC010/REC010_SEG0057.wav,included,
