segment_id,recording_id,speaker_group_id,audio_path,duration_seconds,transcription,absolute_audio_path
REC094_SEG0001,REC094,SPK009,data/processed/segments/REC094/REC094_SEG0001.wav,3.76,rexbar asbḥan n yasuɛ lmasiḥ sufuss n matta,/Users/mac/masterAI/tarifit_asr_tfm/data/processed/segments/REC094/REC094_SEG0001.wav
REC094_SEG0002,REC094,SPK009,data/processed/segments/REC094/REC094_SEG0002.wav,3.376,adlis n umezruy n wexřaq n yasuɛ lmasiḥ,/Users/mac/masterAI/tarifit_asr_tfm/data/processed/segments/REC094/REC094_SEG0002.wav
REC094_SEG0003,REC094,SPK009,data/processed/segments/REC094/REC094_SEG0003.wav,12.432,adlis n umezruy n wexřaq n yasuɛ lmasiḥ mmis n dawud mmis n ibrahim ibrahim ijja dd isḥaq isḥaq ijja dd yaɛqub yaɛqub ijja dd yahuda d aytmas,/Users/mac/masterAI/tarifit_asr_tfm/data/processed/segments/REC094/REC094_SEG0003.wav
REC094_SEG0004,REC094,SPK009,data/processed/segments/REC094/REC094_SEG0004.wav,18.032,yahuda ijja dd fariṣ d zaraḥ ak d tamar fariṣ ijja dd ḥaṣrun ḥaṣrun ijja dd aram aram ijja dd ɛamminadab ɛamminadab ijja dd naḥcun naḥcun ijja dd salmun salmun ijja dd buɛaz zi raḥab,/Users/mac/masterAI/tarifit_asr_tfm/data/processed/segments/REC094/REC094_SEG0004.wav
REC094_SEG0005,REC094,SPK009,data/processed/segments/REC094/REC094_SEG0005.wav,12.744,buɛaz ijja dd ɛubid ak d raɛut ɛubid ijja dd yassa yassa ijja dd dawud ajeǧid uca dawud ijja dd suliman ak d temɣart n uriya,/Users/mac/masterAI/tarifit_asr_tfm/data/processed/segments/REC094/REC094_SEG0005.wav
REC094_SEG0006_PART01,REC094,SPK009,data/processed/segments/REC094/REC094_SEG0006_PART01.wav,11.732,suliman ijja dd raḥabɛam raḥabɛam ijja dd abiya abiya ijja dd asa asa ijja dd yahucafaṭ yahucafaṭ ijja dd yuram,/Users/mac/masterAI/tarifit_asr_tfm/data/processed/segments/REC094/REC094_SEG0006_PART01.wav
REC094_SEG0006_PART02,REC094,SPK009,data/processed/segments/REC094/REC094_SEG0006_PART02.wav,11.732,yuram ijja dd ɛuzziya ɛuzziya ijja dd yutam yutam ijja dd aḥaz aḥaz ijja dd ḥizqiya ḥizqiya ijja dd manassa manassa ijja dd amun,/Users/mac/masterAI/tarifit_asr_tfm/data/processed/segments/REC094/REC094_SEG0006_PART02.wav
REC094_SEG0007,REC094,SPK009,data/processed/segments/REC094/REC094_SEG0007.wav,7.76,amun ijja dd yuciya yuciya ijja dd yakunya d aytmas deg wussan n nehbast di babil,/Users/mac/masterAI/tarifit_asr_tfm/data/processed/segments/REC094/REC094_SEG0007.wav
REC094_SEG0008_PART01,REC094,SPK009,data/processed/segments/REC094/REC094_SEG0008_PART01.wav,11.988,awarni awmi xsan uzren ɣar di babil yakunya ijja dd caɛaltiyil caɛaltiyil ijja dd zarubbabil zarubbabil ijja dd abihud abihud,/Users/mac/masterAI/tarifit_asr_tfm/data/processed/segments/REC094/REC094_SEG0008_PART01.wav
REC094_SEG0008_PART02,REC094,SPK009,data/processed/segments/REC094/REC094_SEG0008_PART02.wav,11.988,ijja dd alyaqim alyaqim ijja dd ɛazur ɛazur ijja dd ṣaduq ṣaduq ijja dd axim axim ijja dd aliyud aliyud ijja dd aliɛazar,/Users/mac/masterAI/tarifit_asr_tfm/data/processed/segments/REC094/REC094_SEG0008_PART02.wav
REC094_SEG0009_PART01,REC094,SPK009,data/processed/segments/REC094/REC094_SEG0009_PART01.wav,14.212,aliɛazar ijja dd mattan mattan ijja dd yaɛqub yaɛqub ijja dd yusuf aryaz n maryam tenni i dd ijjin yasuɛ umi qqaren lmasiḥ s uyenni marra arrawen zi ibrahim ař dawud,/Users/mac/masterAI/tarifit_asr_tfm/data/processed/segments/REC094/REC094_SEG0009_PART01.wav
REC094_SEG0009_PART02,REC094,SPK009,data/processed/segments/REC094/REC094_SEG0009_PART02.wav,14.212,iwḍen arbeɛṭac n warrawen zi dawud ař lmenfa di babil arbeɛtac n warrawen uca zi tmeḥbast di babil ař lmasiḥ arbeɛtac n warrawen,/Users/mac/masterAI/tarifit_asr_tfm/data/processed/segments/REC094/REC094_SEG0009_PART02.wav
REC094_SEG0010,REC094,SPK009,data/processed/segments/REC094/REC094_SEG0010.wav,2.032,axřaq n yasuɛ lmasiḥ,/Users/mac/masterAI/tarifit_asr_tfm/data/processed/segments/REC094/REC094_SEG0010.wav
REC094_SEG0011,REC094,SPK009,data/processed/segments/REC094/REC094_SEG0011.wav,12.656,ammu i yemsar wexřaq n yasuɛ lmasiḥ umi yemmas maryam tuɣa tt d tanexḍebt n yusuf iḍhar dd belli nettat teksi aɛeddis zi arruḥ iqeddsen qbeř i ɣa meřcen,/Users/mac/masterAI/tarifit_asr_tfm/data/processed/segments/REC094/REC094_SEG0011.wav
REC094_SEG0012_PART01,REC094,SPK009,data/processed/segments/REC094/REC094_SEG0012_PART01.wav,11.528,umi aryaz nnes yusuf tuɣa iggur nican war ixs ca ad tt issbehdeř tuɣa yarezzu ad as iǧef s tnuffra am tuɣa ittxarraṣ di man,/Users/mac/masterAI/tarifit_asr_tfm/data/processed/segments/REC094/REC094_SEG0012_PART01.wav
REC094_SEG0012_PART02,REC094,SPK009,data/processed/segments/REC094/REC094_SEG0012_PART02.wav,11.528,aya iḍhar as dd lmalak n sidi di tarjit inna a yusuf a mmis n dawud war tteggʷed ad dd tawyed maryam d tamɣart nnec,/Users/mac/masterAI/tarifit_asr_tfm/data/processed/segments/REC094/REC094_SEG0012_PART02.wav
REC094_SEG0013,REC094,SPK009,data/processed/segments/REC094/REC094_SEG0013.wav,13.584,minzi wenni i dayes dd ixeřqen aqa netta zi arruḥ iqeddsen nettat ad dd taruw aḥenjir nettat ad t tsemma yasuɛ minzi netta ad issenjem řgens nnes zi ddnub nsen,/Users/mac/masterAI/tarifit_asr_tfm/data/processed/segments/REC094/REC094_SEG0013.wav
REC094_SEG0014,REC094,SPK009,data/processed/segments/REC094/REC094_SEG0014.wav,17.68,marra aya imsar ḥima ad ittwakemmeř min inna sidi s uqemmum n unabi umi inna xẓar taɛzarect ad teksi ddeyset uca ad dd taruw aḥenjir ad as ggen ɛimmanu il min ixs ad yini arebbi nneɣ aqa t akidneɣ,/Users/mac/masterAI/tarifit_asr_tfm/data/processed/segments/REC094/REC094_SEG0014.wav
REC094_SEG0015,REC094,SPK009,data/processed/segments/REC094/REC094_SEG0015.wav,18.352,řami dd ifaq yusuf zeg iḍeṣ igga am mammec tt yumur lmalak n sidi uca yiwyi dd tamɣart nnes ɣares uca netta war ɣares dd iqarreb ca ařami dd turuw mmis amenzu uca tsemma t yeccu,/Users/mac/masterAI/tarifit_asr_tfm/data/processed/segments/REC094/REC094_SEG0015.wav
REC095_SEG0001_PART01,REC095,SPK009,data/processed/segments/REC095/REC095_SEG0001_PART01.wav,13.16,imusnawen n itran zi ccarq řami dd ixřeq yasuɛ di bayt laḥm di yahudiyya deg wussan n ujeǧid hirudus usin dd ca n imusnawen n itran,/Users/mac/masterAI/tarifit_asr_tfm/data/processed/segments/REC095/REC095_SEG0001_PART01.wav
REC095_SEG0001_PART02,REC095,SPK009,data/processed/segments/REC095/REC095_SEG0001_PART02.wav,13.16,zi manis d tneqqar tfuct ɣar urcalim nnan mani iǧa wenni dd ixeřqen d ajeǧid n wudayen aqa neẓra itri nnes di ccarq nusa dd ad as nesjed,/Users/mac/masterAI/tarifit_asr_tfm/data/processed/segments/REC095/REC095_SEG0001_PART02.wav
REC095_SEG0002,REC095,SPK009,data/processed/segments/REC095/REC095_SEG0002.wav,7.248,řami isřa ujeǧid hirudus man aya inneḥweř netta d qaɛ urcalim akides,/Users/mac/masterAI/tarifit_asr_tfm/data/processed/segments/REC095/REC095_SEG0002.wav
REC095_SEG0003_PART01,REC095,SPK009,data/processed/segments/REC095/REC095_SEG0003_PART01.wav,11.4,hirudus issmun dd zi řgens marra imeqqranen n ikehhanen d imseřmaden n idlisen uca isseqsa ten x mani ɣa ixřeq lmasiḥ,/Users/mac/masterAI/tarifit_asr_tfm/data/processed/segments/REC095/REC095_SEG0003_PART01.wav
REC095_SEG0003_PART02,REC095,SPK009,data/processed/segments/REC095/REC095_SEG0003_PART02.wav,11.4,nnan di bayt laḥm di yahudiyya minzi d man aya i yuran s ufus n unabi uřa d cem bayt laḥm di temmurt n yahuda,/Users/mac/masterAI/tarifit_asr_tfm/data/processed/segments/REC095/REC095_SEG0003_PART02.wav
REC095_SEG0004,REC095,SPK009,data/processed/segments/REC095/REC095_SEG0004.wav,11.824,cem war teǧid ca d tameẓyant jar rhukam n yahuda minzi zzayem dd ɣa iffeɣ ujeǧid wenni i ɣa yarewsen řgens inu israil,/Users/mac/masterAI/tarifit_asr_tfm/data/processed/segments/REC095/REC095_SEG0004.wav
REC095_SEG0005_PART01,REC095,SPK009,data/processed/segments/REC095/REC095_SEG0005_PART01.wav,10.696,xenni iřaɣa hirudus x imusnawen n itran s tnuffra uca yiweḍ ad zzaysen issen řweqt i di tuɣa d asen dd iffeɣ,/Users/mac/masterAI/tarifit_asr_tfm/data/processed/segments/REC095/REC095_SEG0005_PART01.wav
REC095_SEG0005_PART02,REC095,SPK009,data/processed/segments/REC095/REC095_SEG0005_PART02.wav,10.696,itri xenni issekk i ten ɣar bayt laḥm inna ruḥem dinni tarzum mliḥ x uḥenjir mařa tufim t asem dd xebbarem ayi,/Users/mac/masterAI/tarifit_asr_tfm/data/processed/segments/REC095/REC095_SEG0005_PART02.wav
REC095_SEG0006,REC095,SPK009,data/processed/segments/REC095/REC095_SEG0006.wav,16.56,ḥima uřa d necc ad dd aseɣ ad as sejdeɣ awarni řami sřin i wawař n ujeǧid ruḥen uca xzar itri i ẓrin di ccarq iggur zzatsen ařami dd yiweḍ uca ibedd sennej i wemcan mani iǧa uḥenjir,/Users/mac/masterAI/tarifit_asr_tfm/data/processed/segments/REC095/REC095_SEG0006.wav
REC095_SEG0007_PART01,REC095,SPK009,data/processed/segments/REC095/REC095_SEG0007_PART01.wav,10.936,řami ẓrin itri farḥen s řefraḥet tameqqrant aṭṭas udfen ɣar taddart ẓrin aḥenjir ak d maryam yemmas wḍan ɣar temmurt uca,/Users/mac/masterAI/tarifit_asr_tfm/data/processed/segments/REC095/REC095_SEG0007_PART01.wav
REC095_SEG0007_PART02,REC095,SPK009,data/processed/segments/REC095/REC095_SEG0007_PART02.wav,10.936,sejden as xenni arezmen řeknuz nsen uca qeddmen as tirzifin ureɣ mirru d řefwaḥet n řebxur,/Users/mac/masterAI/tarifit_asr_tfm/data/processed/segments/REC095/REC095_SEG0007_PART02.wav
