segment_id,recording_id,speaker_group_id,dataset_split,segmentation_version,start_seconds,end_seconds,duration_seconds,audio_path,review_status,transcription
REC094_SEG0001,REC094,SPK009,train,vad_v2_spk009,2.072,5.832,3.76,data/processed/segments/REC094/REC094_SEG0001.wav,reviewed,rexbar asbḥan n yasuɛ lmasiḥ sufuss n matta
REC094_SEG0002,REC094,SPK009,train,vad_v2_spk009,7.096,10.472,3.376,data/processed/segments/REC094/REC094_SEG0002.wav,reviewed,adlis n umezruy n wexřaq n yasuɛ lmasiḥ
REC094_SEG0003,REC094,SPK009,train,vad_v2_spk009,12.76,25.192,12.432,data/processed/segments/REC094/REC094_SEG0003.wav,reviewed,adlis n umezruy n wexřaq n yasuɛ lmasiḥ mmis n dawud mmis n ibrahim ibrahim ijja dd isḥaq isḥaq ijja dd yaɛqub yaɛqub ijja dd yahuda d aytmas
REC094_SEG0004,REC094,SPK009,train,vad_v2_spk009,25.624,43.656,18.032,data/processed/segments/REC094/REC094_SEG0004.wav,reviewed,yahuda ijja dd fariṣ d zaraḥ ak d tamar fariṣ ijja dd ḥaṣrun ḥaṣrun ijja dd aram aram ijja dd ɛamminadab ɛamminadab ijja dd naḥcun naḥcun ijja dd salmun salmun ijja dd buɛaz zi raḥab
REC094_SEG0005,REC094,SPK009,train,vad_v2_spk009,44.024,56.768,12.744,data/processed/segments/REC094/REC094_SEG0005.wav,reviewed,buɛaz ijja dd ɛubid ak d raɛut ɛubid ijja dd yassa yassa ijja dd dawud ajeǧid uca dawud ijja dd suliman ak d temɣart n uriya
REC094_SEG0006_PART01,REC094,SPK009,train,vad_v2_spk009,56.768,68.5,11.732,data/processed/segments/REC094/REC094_SEG0006_PART01.wav,reviewed,suliman ijja dd raḥabɛam raḥabɛam ijja dd abiya abiya ijja dd asa asa ijja dd yahucafaṭ yahucafaṭ ijja dd yuram
REC094_SEG0006_PART02,REC094,SPK009,train,vad_v2_spk009,68.5,80.232,11.732,data/processed/segments/REC094/REC094_SEG0006_PART02.wav,reviewed,yuram ijja dd ɛuzziya ɛuzziya ijja dd yutam yutam ijja dd aḥaz aḥaz ijja dd ḥizqiya ḥizqiya ijja dd manassa manassa ijja dd amun
REC094_SEG0007,REC094,SPK009,train,vad_v2_spk009,80.248,88.008,7.76,data/processed/segments/REC094/REC094_SEG0007.wav,reviewed,amun ijja dd yuciya yuciya ijja dd yakunya d aytmas deg wussan n nehbast di babil
REC094_SEG0008_PART01,REC094,SPK009,train,vad_v2_spk009,88.312,100.3,11.988,data/processed/segments/REC094/REC094_SEG0008_PART01.wav,reviewed,awarni awmi xsan uzren ɣar di babil yakunya ijja dd caɛaltiyil caɛaltiyil ijja dd zarubbabil zarubbabil ijja dd abihud abihud
REC094_SEG0008_PART02,REC094,SPK009,train,vad_v2_spk009,100.3,112.288,11.988,data/processed/segments/REC094/REC094_SEG0008_PART02.wav,reviewed,ijja dd alyaqim alyaqim ijja dd ɛazur ɛazur ijja dd ṣaduq ṣaduq ijja dd axim axim ijja dd aliyud aliyud ijja dd aliɛazar
REC094_SEG0009_PART01,REC094,SPK009,train,vad_v2_spk009,112.288,126.5,14.212,data/processed/segments/REC094/REC094_SEG0009_PART01.wav,reviewed,aliɛazar ijja dd mattan mattan ijja dd yaɛqub yaɛqub ijja dd yusuf aryaz n maryam tenni i dd ijjin yasuɛ umi qqaren lmasiḥ s uyenni marra arrawen zi ibrahim ař dawud
REC094_SEG0009_PART02,REC094,SPK009,train,vad_v2_spk009,126.5,140.712,14.212,data/processed/segments/REC094/REC094_SEG0009_PART02.wav,reviewed,iwḍen arbeɛṭac n warrawen zi dawud ař lmenfa di babil arbeɛtac n warrawen uca zi tmeḥbast di babil ař lmasiḥ arbeɛtac n warrawen
REC094_SEG0010,REC094,SPK009,train,vad_v2_spk009,142.104,144.136,2.032,data/processed/segments/REC094/REC094_SEG0010.wav,reviewed,axřaq n yasuɛ lmasiḥ
REC094_SEG0011,REC094,SPK009,train,vad_v2_spk009,144.888,157.544,12.656,data/processed/segments/REC094/REC094_SEG0011.wav,reviewed,ammu i yemsar wexřaq n yasuɛ lmasiḥ umi yemmas maryam tuɣa tt d tanexḍebt n yusuf iḍhar dd belli nettat teksi aɛeddis zi arruḥ iqeddsen qbeř i ɣa meřcen
REC094_SEG0012_PART01,REC094,SPK009,train,vad_v2_spk009,158.136,169.664,11.528,data/processed/segments/REC094/REC094_SEG0012_PART01.wav,reviewed,umi aryaz nnes yusuf tuɣa iggur nican war ixs ca ad tt issbehdeř tuɣa yarezzu ad as iǧef s tnuffra am tuɣa ittxarraṣ di man
REC094_SEG0012_PART02,REC094,SPK009,train,vad_v2_spk009,169.664,181.192,11.528,data/processed/segments/REC094/REC094_SEG0012_PART02.wav,reviewed,aya iḍhar as dd lmalak n sidi di tarjit inna a yusuf a mmis n dawud war tteggʷed ad dd tawyed maryam d tamɣart nnec
REC094_SEG0013,REC094,SPK009,train,vad_v2_spk009,181.688,195.272,13.584,data/processed/segments/REC094/REC094_SEG0013.wav,reviewed,minzi wenni i dayes dd ixeřqen aqa netta zi arruḥ iqeddsen nettat ad dd taruw aḥenjir nettat ad t tsemma yasuɛ minzi netta ad issenjem řgens nnes zi ddnub nsen
REC094_SEG0014,REC094,SPK009,train,vad_v2_spk009,195.8,213.48,17.68,data/processed/segments/REC094/REC094_SEG0014.wav,reviewed,marra aya imsar ḥima ad ittwakemmeř min inna sidi s uqemmum n unabi umi inna xẓar taɛzarect ad teksi ddeyset uca ad dd taruw aḥenjir ad as ggen ɛimmanu il min ixs ad yini arebbi nneɣ aqa t akidneɣ
REC094_SEG0015,REC094,SPK009,train,vad_v2_spk009,213.72,232.072,18.352,data/processed/segments/REC094/REC094_SEG0015.wav,reviewed,řami dd ifaq yusuf zeg iḍeṣ igga am mammec tt yumur lmalak n sidi uca yiwyi dd tamɣart nnes ɣares uca netta war ɣares dd iqarreb ca ařami dd turuw mmis amenzu uca tsemma t yeccu
REC095_SEG0001_PART01,REC095,SPK009,train,vad_v2_spk009,0.92,14.08,13.16,data/processed/segments/REC095/REC095_SEG0001_PART01.wav,reviewed,imusnawen n itran zi ccarq řami dd ixřeq yasuɛ di bayt laḥm di yahudiyya deg wussan n ujeǧid hirudus usin dd ca n imusnawen n itran
REC095_SEG0001_PART02,REC095,SPK009,train,vad_v2_spk009,14.08,27.24,13.16,data/processed/segments/REC095/REC095_SEG0001_PART02.wav,reviewed,zi manis d tneqqar tfuct ɣar urcalim nnan mani iǧa wenni dd ixeřqen d ajeǧid n wudayen aqa neẓra itri nnes di ccarq nusa dd ad as nesjed
REC095_SEG0002,REC095,SPK009,train,vad_v2_spk009,27.864,35.112,7.248,data/processed/segments/REC095/REC095_SEG0002.wav,reviewed,řami isřa ujeǧid hirudus man aya inneḥweř netta d qaɛ urcalim akides
REC095_SEG0003_PART01,REC095,SPK009,train,vad_v2_spk009,35.416,46.816,11.4,data/processed/segments/REC095/REC095_SEG0003_PART01.wav,reviewed,hirudus issmun dd zi řgens marra imeqqranen n ikehhanen d imseřmaden n idlisen uca isseqsa ten x mani ɣa ixřeq lmasiḥ
REC095_SEG0003_PART02,REC095,SPK009,train,vad_v2_spk009,46.816,58.216,11.4,data/processed/segments/REC095/REC095_SEG0003_PART02.wav,reviewed,nnan di bayt laḥm di yahudiyya minzi d man aya i yuran s ufus n unabi uřa d cem bayt laḥm di temmurt n yahuda
REC095_SEG0004,REC095,SPK009,train,vad_v2_spk009,59.096,70.92,11.824,data/processed/segments/REC095/REC095_SEG0004.wav,reviewed,cem war teǧid ca d tameẓyant jar rhukam n yahuda minzi zzayem dd ɣa iffeɣ ujeǧid wenni i ɣa yarewsen řgens inu israil
REC095_SEG0005_PART01,REC095,SPK009,train,vad_v2_spk009,71.48,82.176,10.696,data/processed/segments/REC095/REC095_SEG0005_PART01.wav,reviewed,xenni iřaɣa hirudus x imusnawen n itran s tnuffra uca yiweḍ ad zzaysen issen řweqt i di tuɣa d asen dd iffeɣ
REC095_SEG0005_PART02,REC095,SPK009,train,vad_v2_spk009,82.176,92.872,10.696,data/processed/segments/REC095/REC095_SEG0005_PART02.wav,reviewed,itri xenni issekk i ten ɣar bayt laḥm inna ruḥem dinni tarzum mliḥ x uḥenjir mařa tufim t asem dd xebbarem ayi
REC095_SEG0006,REC095,SPK009,train,vad_v2_spk009,93.112,109.672,16.56,data/processed/segments/REC095/REC095_SEG0006.wav,reviewed,ḥima uřa d necc ad dd aseɣ ad as sejdeɣ awarni řami sřin i wawař n ujeǧid ruḥen uca xzar itri i ẓrin di ccarq iggur zzatsen ařami dd yiweḍ uca ibedd sennej i wemcan mani iǧa uḥenjir
