segment_id,recording_id,speaker_group_id,dataset_split,duration_seconds,audio_path,manual_transcription,transcription_status,uncertainty_notes,review_status,transcription_time_seconds
REC015_SEG0046,REC015,SPK001,train,12.56,data/processed/segments/REC015/REC015_SEG0046.wav,cḏeẖ narayes d re d reggada aiṯ wayaɣer uqqimenci tgenṯ ̣̱ḏin rebɛadiṯ uteggenci qanak ayaz awayaɣər ma ma ma aḏicḏeẖ ɛaḏ rux atceḏẖeḏ ukinan ocetẖeḏci,completed,,not_reviewed,1976
REC011_SEG0086,REC011,SPK001,train,12.944,data/processed/segments/REC011/REC011_SEG0086.wav,ibeqquyen neṯnin ibeqquyen necnin neqqaras neqqarasn iwḏan n rebẖa niṯni rebda ira tiɛicen x rebha teɛjibasen rebẖa qaɛ ṯuḏaṯ nsen ira x rebẖa waha,completed,,not_reviewed,234
REC010_SEG0055,REC010,SPK001,train,2.544,data/processed/segments/REC010/REC010_SEG0055.wav,waxa wax anini,completed,,not_reviewed,29
REC016_SEG0051,REC016,SPK001,train,12.464,data/processed/segments/REC016/REC016_SEG0051.wav,anqa iwḏan neɣ irumyen yineɣni ibaranyen osenqaci ilimanyen sneḏ wni ijen mis naẖram imɣa ixsa utiriḏ daɣyur ixsa umidjeḏ i iwḏan neɣni uṯeɣriḏ,completed,,not_reviewed,351
REC016_SEG0017,REC016,SPK001,train,13.872,data/processed/segments/REC016/REC016_SEG0017.wav,rux anexza rux anexza man isemm inssen necnin zeg mezwura neɣ ṯammuaṯ neɣ udjici ira nqaras muritanya la ṯammuaṯ neɣ ira nqaras amezgaro nkku,completed,,not_reviewed,425
REC014_SEG0018,REC014,SPK001,train,1.872,data/processed/segments/REC014/REC014_SEG0018.wav,aṭas isiqqan qa,not_started,,not_reviewed,35
REC015_SEG0129,REC015,SPK001,train,9.232,data/processed/segments/REC015/REC015_SEG0129.wav,amdji ɣa yuqeɛ cumenɣi niɣ cumcuncef ɛad iggʷan iwḏan a iḏura aggʷren zi iwḏan ḥma u ṯen teḏfan,completed,,not_reviewed,234
REC016_SEG0081,REC016,SPK001,train,7.344,data/processed/segments/REC016/REC016_SEG0081.wav,zid ha aqa ijen rebɛaḏ ṯimɣarin n ddin ṯimezwura ira taɛyant,completed,,not_reviewed,75
REC016_SEG0046,REC016,SPK001,train,6.8,data/processed/segments/REC016/REC016_SEG0046.wav,awar i yenni ini wayɣrin ina iḏa twariḏ nqqarasen s ṯmaziɣt imezwura neɣ ilimanyen,completed,,not_reviewed,107
REC013_SEG0113,REC013,SPK001,train,0.759,data/processed/segments/REC013/REC013_SEG0113.wav,,uncertain,,not_reviewed,33
REC038_SEG0080,REC038,SPK002,train,10.0,data/processed/segments/REC038/REC038_SEG0080.wav,siyda wanitin iɣra tebb gi ṯmen snin fehmeḏ maci iɣra tebb waha tsemma ɛadi la iɣra teb s tafwuq s lijtihad kḏa,completed,,not_reviewed,230
REC034_SEG0071,REC034,SPK002,train,13.016,data/processed/segments/REC034/REC034_SEG0071.wav,ruxa nggʷad a partya ṯanggarut muxas neg ad nsseɛqeb tsemma rweqṯ as nssenqes ciḥaja zi zi ṭazraya migi migi iggʷa itbanayd ira iḏha rẖar,completed,,not_reviewed,312
REC035_SEG0039,REC035,SPK002,train,10.0,data/processed/segments/REC035/REC035_SEG0039.wav,maṯalan tafḏ ibeqquyen gɣasn bzzaf n li term ɣasn l ɛalaqa ag ag rebḥa aiṯ wayaɣer ɣasn bzzaf n li term ɣasn lɛalaqa ag jbel,completed,,not_reviewed,180
REC037_SEG0056,REC037,SPK002,train,5.264,data/processed/segments/REC037/REC037_SEG0056.wav,muckil neɣ howa anaho ɣaneɣ ṯnayn coloriṯ waha tsemma inzar acemrar niɣ ḏubarkan,completed,,not_reviewed,92
REC038_SEG0114,REC038,SPK002,train,4.464,data/processed/segments/REC038/REC038_SEG0114.wav,weni idjan ḏseh difirinti utiqqaci wni idjan ḏseḥ difirinti,completed,,not_reviewed,105
REC037_SEG0017,REC037,SPK002,train,2.992,data/processed/segments/REC037/REC037_SEG0017.wav,niɣ l mujtamaɛaṯ ndden aɣasn,completed,,not_reviewed,49
REC035_SEG0097,REC035,SPK002,train,3.376,data/processed/segments/REC035/REC035_SEG0097.wav,a sen nmmer ṯimesrayin s s ires nsen,completed,,not_reviewed,87
REC034_SEG0030,REC034,SPK002,train,8.336,data/processed/segments/REC034/REC034_SEG0030.wav,amux ttafeɣ nec qaɣ zaɛma raɛqer neɣ itmiyaz rḥajeṯ igidja itiɛicit ḏejḏiḏ itiɛicit  ḏi ṯwaret ṯamezgarut,completed,,not_reviewed,233
REC034_SEG0082,REC034,SPK002,train,12.792,data/processed/segments/REC034/REC034_SEG0082.wav,maṯalan lpara punṭ ṯnni mizi ṭṭawen ikesperyuns uṯeɣrici bzzaf bnaḏem iteggit ijen ṯwarat maṯalan gi lɛomor ines axas iɛqer maṯalan adqessex aruṭin sijju viaxe,completed,,not_reviewed,271
REC036_SEG0016,REC036,SPK002,train,6.128,data/processed/segments/REC036/REC036_SEG0016.wav,l kara wanitin aneɣ yawi a rejḏuḏ neɣ anza mux ira ddan mux ira tiɛicen,completed,,not_reviewed,92
REC052_SEG0093,REC052,SPK003,train,11.872,data/processed/segments/REC052/REC052_SEG0093.wav,bnaḏem itejja cufaj itceɛar abɛu ɛicin saɛa x abɛu ɛicin saɛa manaya awalan ittet itkellafac attas n tmenyaṯ txedjasḏ attas n trisinti attas n rgaz,completed,,not_reviewed,287
REC052_SEG0061,REC052,SPK003,train,2.04,data/processed/segments/REC052/REC052_SEG0061.wav,l ḥizeb ɣas lɣira,completed,,not_reviewed,45
REC052_SEG0030,REC052,SPK003,train,4.816,data/processed/segments/REC052/REC052_SEG0030.wav,,uncertain,,not_reviewed,24
REC052_SEG0141,REC052,SPK003,train,12.304,data/processed/segments/REC052/REC052_SEG0141.wav,l istihlak n stehlak attas n tɣasṭa attas aqaneɣ gijen lmujtamaɛ itɣasṭa attas ruxa twarid ḥmi ɣa ṯssaɣeḏ ɣa atceɛred telfaza aṯssaɣeḏ telfaza i tsemma rebda ḏariklam i tsemma tcejaɛen cek ḥma atsɣeḏ,completed,,not_reviewed,347
REC051_SEG0058,REC051,SPK003,train,10.864,data/processed/segments/REC051/REC051_SEG0058.wav,am sanawat ino niɣ iwḏan idjan ḏ imezyanen xi ɣasn ṯawa nsen sawaren luɣa ɣrin da ɣasn rxeḏmeṯ ɣasn inaṯ aḏaḏfen bac addafɛen x ṯawa nsen ḏi lmadaris mara uneggi manaya ansiḏef iwḏan neɣ,completed,,not_reviewed,277
REC092_SEG0011,REC092,SPK008,train,12.816,data/processed/segments/REC092/REC092_SEG0011.wav,itɛawad x lqissa ines gi arf o tesɛmya o xemso ɛicin n l murasalaṯ n lqissa ines mux ira itiɛic gi arif gi rweqṯ ni kitab wis ṯmenya abdelkrim xettabi wa osṭorat l infisal ḥafryat naqdya fi xitab l jumhurya rifya,completed,,not_reviewed,344
REC091_SEG0014,REC091,SPK008,train,13.792,data/processed/segments/REC091/REC091_SEG0014.wav,arif ag ṯimɣarin narif tmeniɣ li annaho saraḥa bnat sebbar ira ṯɛejbay bzaf kta zi nnayn riwayaṯ neɣni min idjan mohim go lkitabaṯ n karima anaho tafqed ag l afkar ines niɣ otifqeḏci,completed,,not_reviewed,317
REC091_SEG0009,REC091,SPK008,train,14.688,data/processed/segments/REC091/REC091_SEG0009.wav,ag jinsiyat nedni kurij miɣa dyusa iwḏan idyusan zi surya bi sabab lḥarb iwḏan idyusin li asbab motaɛaddida ijen qissa idjan mucawwiqa iwa wis ṯraṯa l mar a l okhra nosxa ino lwaraqya ossineɣ mani tsweddaɣ utufiɣci,completed,,not_reviewed,299
REC092_SEG0012,REC092,SPK008,train,3.28,data/processed/segments/REC092/REC092_SEG0012.wav,li l katib l maɣribi ductur muẖammed unya,completed,,not_reviewed,55
REC091_SEG0005,REC091,SPK008,train,10.288,data/processed/segments/REC091/REC091_SEG0005.wav,l irṯ siwer x lqitaɛ x x ṯiɣri eh siwer x lmedd salafi idyusin g ijen rweqt g arif siwer x bzzaf n rẖwayej ntaṯ ḏijen riwaya,completed,,not_reviewed,249
