recording_id,source_url,source_title,duration_seconds,subtitles,region,recording_type,audio_quality,status,notes
REC001,https://www.youtube.com/watch?v=78IIT5Y1phA&t=149s,Tamazight - Tarifit - Lesson 1,466,no,Hocima,Educational video,Good,Accepted,
REC002,https://www.youtube.com/watch?v=xYWoCLzYeZc&list=TLPQMTMwNzIwMjalfu46jLmqfA,Tamazight - Tarifit - Lesson 2,608,no,Hocima,Educational video,Good,Accepted,
REC003,https://www.youtube.com/watch?v=FlqhX2f3qgs,Tamazight - Tarifit - Lesson 3,271,no,Hocima,Educational video,Good,Accepted,
REC004,https://www.youtube.com/watch?v=8oWxPoNZBM8,Tamazight - Tarifit - Lesson 4,777,no,Hocima,Educational video,Good,Accepted,
REC005,https://www.youtube.com/watch?v=ZYJqsHFxiIs,Tamazight - Tarifit - Lesson 5,245,no,Hocima,Educational video,Good,Accepted,
REC006,https://www.youtube.com/watch?v=J-ybZVR-Ap0,Tamazight - Tarifit - Lesson 6,122,no,Hocima,Educational video,Good,Accepted,
REC007,https://www.youtube.com/watch?v=Cr9P-TA5KM0,Tamazight - Tarifit - Lesson 7 Tifersae,385,no,Hocima,Educational video,Good,Accepted,
REC008,https://www.youtube.com/watch?v=4ztzZcVCD34,Tamazight - Tarifit - Lesson 8 - Iwaren,123,no,Hocima,Educational video,Good,Accepted,
REC009,https://www.youtube.com/watch?v=ISEx00orWBE," Tamazight - Tarifit - Lesson 9 - Wae, win, wenni ",637,no,Hocima,Educational video,Good,Accepted,
REC010,https://www.youtube.com/watch?v=pBXZejTaRRw,Tamazight - History - Lesson 10 - Part 1 - Educational purposes,701,no,Hocima,Educational video,Good,Accepted,
REC011,https://www.youtube.com/watch?v=9KbtkiXX2_o,Tamazight - History - Lesson 10 - Part 2A - Educational purposes,1022,no,Hocima,Educational video,Good,Accepted,
REC012,https://www.youtube.com/watch?v=gqcrAorHmng&t=9s,Tamazight - History - Lesson 10 - Part 3 - Educational purposes,987,no,Hocima,Educational video,Good,Accepted,
REC013,https://www.youtube.com/watch?v=xZG9EEU6xyc,Tamazight - History - Lesson 10 - Part 4 - Educational purposes,996,no,Hocima,Educational video,Good,Accepted,
REC014,https://www.youtube.com/watch?v=6t7EoRoupR4,Tamazight - History - Lesson 10 - Part 5 - Educational purposes,316,no,Hocima,Educational video,Good,Accepted,
REC015,https://www.youtube.com/watch?v=_uQcpw88yQk,Tamazight - History - Lesson 10 - Part 2B - Educational purposes,1204,no,Hocima,Educational video,Good,Accepted,
REC016,https://www.youtube.com/watch?v=JBkkoZXMIs0,Tamazight - History - Lesson 10 - Part 2C - Educational purposes,989,no,Hocima,Educational video,Good,Accepted,
REC017,https://www.youtube.com/watch?v=KwTa1D9kEbs,Tamazight - Tarifit - Alphabet,643,no,Hocima,Educational video,Good,Accepted,
REC018,https://www.youtube.com/watch?v=HHOU7gMeJfE,Les animaux en Tamazight - Rifain,123,no,Hocima,Educational video,Good,Accepted,
REC019,https://www.youtube.com/watch?v=RbLiD7r_Vs8,Les animaux en Tamazight - Rifain,122,no,Hocima,Educational video,Good,Accepted,
REC020,https://www.youtube.com/watch?v=K76t36wS0J0,Les animaux en Tamazight - Rifain,122,no,Hocima,Educational video,Good,Unavailable,
REC021,https://www.youtube.com/watch?v=tf7GiFxxErQ,APPRENDRE LES ANIMAUX EN TMAZIKHT / LEARN ANIMALS IN TMAZIKHT,62,no,Hocima,Educational video,Good,Unavailable,
REC022,https://www.youtube.com/watch?v=w0_jtMe3ehk,LE VERBE AVOIR AU PRÉSENT + ON VOIT AUSSI LA MÉTHODOLOGIE DU PASSÉ (DJA + VERBE),74,no,Hocima,Educational video,Good,needs review,explains in frensh
REC023,https://www.youtube.com/watch?v=5--Vo3BfaC8," apprendre 1000 phrases rifaines /Learn Rif berbere language: Français, Anglais, tmazight Tarifit. ",975,no,Hocima,Educational video,Good,Accepted,
REC024,https://www.youtube.com/watch?v=5p48IxMRISA,Parle et apprend le Rifain: Siwel tmazight n Arif/Apprend à poser la question Mana uy-a? en tarifit,507,no,neutral,Educational video,Good,Accepted,translates some phrases to frensh and spanish
REC025,https://www.youtube.com/watch?v=X6YzZ4X_tUk," Apprend rifain, le corps humain (ddat): Cette vidéo partie 1 des mots du coprs humain en tarifit. ",185,no,neutral,Educational video,Good,Accepted,
REC026,https://www.youtube.com/watch?v=FZclTuoHivo,Learn Tharifith. Lesson Number 1 Phonetics Part 1,215,no,hocima,Educational video,not bad,Needs review,explanation in english
REC027,https://www.youtube.com/watch?v=GAxGVRNMhjc," Parts of body in tharifith , Tharifith.com ",329,no,hocima,Educational video,not bad,Needs review,explanation in english
REC028,https://www.youtube.com/watch?v=Ik5U_Rge28E,Numbers in Riffian Language,354,no,hocima,Educational video,not bad,Needs review,explanation in english
REC029,https://www.youtube.com/watch?v=9NE9NPdfCnY,Colors in Rifain. LearnTharifith . Colorith S'thrifith,254,no,hocima,Educational video,not bad,Needs review,explanation in english
REC030,https://www.youtube.com/watch?v=BCTubcACq2k,fourth lesson WEATHER,308,no,hocima,Educational video,not bad,Needs review,explanation in english
REC031,https://www.youtube.com/watch?v=jk9ml8t8Qgg,Lesson N°:8 - Small talks and brief sentences. Learn Tharifith.,796,no,hocima,Educational video,not bad,Needs review,explanation in english+large intro in english
REC032,https://www.youtube.com/watch?v=suAMaLmDwI8,Greetings and Farewells in Riffian language,489,no,hocima,Educational video,not bad,Needs review,explanation in english
REC033,https://www.youtube.com/watch?v=PSkTOQ12_x8,Discover Family Members! - Learn Tharifith,370,no,hocima,Educational video,not bad,Needs review,explanation in english
REC034,https://www.youtube.com/watch?v=JdBMvhcnBwY,THAGHIMITT Ep5- Oghari bo rweqth. | Why we don't have time ?,940,no,hocima,Story telling,Good,accepted,
REC035,https://www.youtube.com/watch?v=RgM8Rrkrr88,Thaghimitt Ep.1 | Iress Arifi (Riffian Tongue),1134,no,hocima,Story telling,Good,accepted,
REC036,https://www.youtube.com/watch?v=bN5AycQ3BfU," Thaghimitt Ep.2 - L'car n Valenciana , or Social Heritage ",713,no,hocima,Story telling,Good,accepted,
REC037,https://www.youtube.com/watch?v=eEM3l7aa1No&t=84s,Thaghimitt Ep.3 - Shakespeare issawar Tharifith,487,no,hocima,Story telling,Good,accepted,
REC038,https://www.youtube.com/watch?v=1RhwrL4BPm4,Thaghimitt Ep.4 | Awar n yewdhan,923,no,hocima,Story telling,Good,accepted,
REC039,https://web.facebook.com/watch/?ref=search&v=947206764363426&external_log_id=e10f454f-9b14-4048-b0d2-30143057f1ae&q=amin%20aouattah,Min tucid i-yexf inek?,155,no,hocima,Story telling - FB reel,Good,accepted,includes music background
REC040,https://web.facebook.com/reel/546891971665300,,82,no,hocima,Story telling -fb shorts,Good,accepted,includes music background
REC041,https://web.facebook.com/reel/382190238249140,,60,no,hocima,Story telling -fb shorts,Good,accepted,includes music background
REC042,https://web.facebook.com/watch/?ref=search&v=9581278461928723&external_log_id=e10f454f-9b14-4048-b0d2-30143057f1ae&q=amin%20aouattah,,234,no,hocima,Story telling - FB reel,Good,accepted,includes music background
REC043,https://web.facebook.com/reel/564181883051294,,60,no,hocima,Story telling - FB reel,Good,accepted,includes music background
REC044,https://web.facebook.com/watch/?ref=search&v=1193066192907174&external_log_id=e10f454f-9b14-4048-b0d2-30143057f1ae&q=amin%20aouattah,Asuggas d-amimun,132,no,hocima,Story telling - FB short,Good,accepted,includes music background
REC045,https://www.youtube.com/watch?v=0mKXl1NEmFA,شاهد التصريح خطير الذي خرج به فريد أيت لحسن الملقب بتقاطست عبر اللايف - Thwiza Tv,7110,no,hocima,Interview - politics,bad,accepted,noise in the background + speaker include many arabic words
REC046,https://www.youtube.com/watch?v=P6uhwO52iH0&t=25s,لقاء مع الأب الصنديد ناصر الزفزافي. - Thwiza Tv,303,no,hocima,Interview - politics,bad,Needs review,noise in the background
REC047,https://www.youtube.com/watch?v=IDEbgyrYZt0,عندما كان نشطاء الحراك يحذرون من فريد ايث لحسن ذو التوجه الانفصالي,1151,no,hocima,Podcast - politics,Medium,accepted,
REC048,https://www.youtube.com/watch?v=OJaMTk5di34,كلمة أقيعان أحمد عن اخر الأحداث الحراك الشعبي بأوروبا,1726,no,hocima,Interview - politics,Medium,accepted,
REC049,https://www.youtube.com/watch?v=TidtcqLxunI,Radio Thwiza - Festival de Cine de Al Hoceima - Mohamed Soultana,877,no,hocima,Interview,Medium,Needs review,
