segment_id,recording_id,speaker_group_id,dataset_split,duration_seconds,audio_path,review_status,fastconformer_raw,human_notes,draft_quality,final_transcription
REC015_SEG0046,REC015,SPK001,train,12.56,data/processed/segments/REC015/REC015_SEG0046.wav,included,,,,
REC011_SEG0086,REC011,SPK001,train,12.944,data/processed/segments/REC011/REC011_SEG0086.wav,included,,,,
REC010_SEG0055,REC010,SPK001,train,2.544,data/processed/segments/REC010/REC010_SEG0055.wav,included,,,,
REC016_SEG0051,REC016,SPK001,train,12.464,data/processed/segments/REC016/REC016_SEG0051.wav,included,,,,
REC016_SEG0017,REC016,SPK001,train,13.872,data/processed/segments/REC016/REC016_SEG0017.wav,included,,,,
REC014_SEG0018,REC014,SPK001,train,1.872,data/processed/segments/REC014/REC014_SEG0018.wav,included,,,,
REC015_SEG0129,REC015,SPK001,train,9.232,data/processed/segments/REC015/REC015_SEG0129.wav,included,,,,
REC016_SEG0081,REC016,SPK001,train,7.344,data/processed/segments/REC016/REC016_SEG0081.wav,included,,,,
REC016_SEG0046,REC016,SPK001,train,6.8,data/processed/segments/REC016/REC016_SEG0046.wav,included,,,,
REC013_SEG0113,REC013,SPK001,train,0.759,data/processed/segments/REC013/REC013_SEG0113.wav,included,,,,
REC038_SEG0080,REC038,SPK002,train,10.0,data/processed/segments/REC038/REC038_SEG0080.wav,included,,,,
REC034_SEG0071,REC034,SPK002,train,13.016,data/processed/segments/REC034/REC034_SEG0071.wav,included,,,,
REC035_SEG0039,REC035,SPK002,train,10.0,data/processed/segments/REC035/REC035_SEG0039.wav,included,,,,
REC037_SEG0056,REC037,SPK002,train,5.264,data/processed/segments/REC037/REC037_SEG0056.wav,included,,,,
REC038_SEG0114,REC038,SPK002,train,4.464,data/processed/segments/REC038/REC038_SEG0114.wav,included,,,,
REC037_SEG0017,REC037,SPK002,train,2.992,data/processed/segments/REC037/REC037_SEG0017.wav,included,,,,
REC035_SEG0097,REC035,SPK002,train,3.376,data/processed/segments/REC035/REC035_SEG0097.wav,included,,,,
REC034_SEG0030,REC034,SPK002,train,8.336,data/processed/segments/REC034/REC034_SEG0030.wav,included,,,,
REC034_SEG0082,REC034,SPK002,train,12.792,data/processed/segments/REC034/REC034_SEG0082.wav,included,,,,
REC036_SEG0016,REC036,SPK002,train,6.128,data/processed/segments/REC036/REC036_SEG0016.wav,included,,,,
REC052_SEG0093,REC052,SPK003,train,11.872,data/processed/segments/REC052/REC052_SEG0093.wav,included,,,,
REC052_SEG0061,REC052,SPK003,train,2.04,data/processed/segments/REC052/REC052_SEG0061.wav,included,,,,
REC052_SEG0030,REC052,SPK003,train,4.816,data/processed/segments/REC052/REC052_SEG0030.wav,included,,,,
REC052_SEG0141,REC052,SPK003,train,12.304,data/processed/segments/REC052/REC052_SEG0141.wav,included,,,,
REC051_SEG0058,REC051,SPK003,train,10.864,data/processed/segments/REC051/REC051_SEG0058.wav,included,,,,
REC092_SEG0011,REC092,SPK008,train,12.816,data/processed/segments/REC092/REC092_SEG0011.wav,included,,,,
REC091_SEG0014,REC091,SPK008,train,13.792,data/processed/segments/REC091/REC091_SEG0014.wav,included,,,,
REC091_SEG0009,REC091,SPK008,train,14.688,data/processed/segments/REC091/REC091_SEG0009.wav,included,,,,
REC092_SEG0012,REC092,SPK008,train,3.28,data/processed/segments/REC092/REC092_SEG0012.wav,included,,,,
REC091_SEG0005,REC091,SPK008,train,10.288,data/processed/segments/REC091/REC091_SEG0005.wav,included,,,,
