segment_id,split,frozen_development_text,later_combined_text
REC098_SEG0034_PART02,train,inni kenniw ittexsen man arbeḥ i ɣarwem ma war tteggen ayt n ḍḍariba ura ammu mara tsedjmem x wawmaten nwem waha min i tetteggem ktar x wenneɣni ma war tteggen ayt n ḍḍariba ura ammu,inni kenniw ittexsen man arbeḥ i ɣarwem ma war tteggen ayt n ddariba ura ammu mara tsedjmem x wawmaten nwem waha min i tetteggem ktar x wenneɣni ma war tteggen ayt n ddariba ura ammu
REC102_SEG0007,train,rami ssenni ikka yasuɛ izra aryaz wenni umi qqaren matta iqqim ɣar ṭaddarṭ n ḍḍariba innas ḍfar ayi dd uca ikkar iḍfar i t rami qqimen niṭni ɣar ttabra ḍi ṭaddarṭ usin dd wattas n ayt n ḍḍariba ḍ imednab,rami ssenni ikka yasuɛ izra aryaz wenni umi qqaren matta iqqim ɣar ṭaddarṭ n ddariba innas ḍfar ayi dd uca ikkar iḍfar i t rami qqimen niṭni ɣar ttabra ḍi ṭaddarṭ usin dd wattas n ayt n ddariba ḍ imednab
REC102_SEG0008,train,qqimen ɣar ttabra ak ḍ yasuɛ ḍ imeḥḍaren nnes rami zrin ifarisiyyen man aya nnan i imeḥḍaren nnes mayemmi ittett umsermad nwem ak ḍ ayt n ḍḍariba ḍ imednab umi isra yasuɛ man aya inna asen inni iseḥḥen war ḥdijen ca aḍbib maca imehrac,qqimen ɣar ttabra ak ḍ yasuɛ ḍ imeḥḍaren nnes rami zrin ifarisiyyen man aya nnan i imeḥḍaren nnes mayemmi ittett umsermad nwem ak ḍ ayt n ddariba ḍ imednab umi isra yasuɛ man aya inna asen inni iseḥḥen war ḥdijen ca aḍbib maca imehrac
REC103_SEG0004_PART01,train,wenni ḍ bu ḍḍariba ḍ yaɛqub mmis n ḥalfa ḍ labbawus umi qqaren tadday ḍ cimɛun wenni ḍ amɛessab ḍ yahuda isxariyuṭi wenni t isellmen,wenni ḍ bu ddariba ḍ yaɛqub mmis n ḥalfa ḍ labbawus umi qqaren tadday ḍ cimɛun wenni ḍ amɛessab ḍ yahuda isxariyuṭi wenni t isellmen
REC104_SEG0012,train,ittett isess uca niṭni qqaren aqa din bnaḍem irhef x macca ḍ binu netta ḍ ameddukker n ayt n ḍḍariba ḍ imednab maca ṭiɣiṭ tettwasegged s rexḍayem nnes,ittett isess uca niṭni qqaren aqa din bnaḍem irhef x macca ḍ binu netta ḍ ameddukker n ayt n ddariba ḍ imednab maca ṭiɣiṭ tettwasegged s rexḍayem nnes
REC110_SEG0015,train,awar n yasuɛ x ḍḍariba i zzawect tameqqrant,awar n yasuɛ x ddariba i zzawect tameqqrant
REC110_SEG0016,train,rami dd usin ɣar kafarnaḥum qarrben dd ayt n ḍḍariba ɣar buṭrus nnan amsermaḍ nwem ma war ittxedjis ṭnayen n drahemmai zzawect tameqqrant,rami dd usin ɣar kafarnaḥum qarrben dd ayt n ddariba ɣar buṭrus nnan amsermaḍ nwem ma war ittxedjis ṭnayen n drahemmai zzawect tameqqrant
REC111_SEG0015,train,am yijjen bu ḍḍariba niɣ am yijjen kuffar,am yijjen bu ddariba niɣ am yijjen kuffar
REC114_SEG0021_PART01,train,wenni ḍ amezwaru yasuɛ inna asen s tidett necc ad awem iniɣ aqa ayt n ḍḍariba ḍ temɣarin n farq ccɣer ad awem izwaren ɣar tgeldit n arebbi minzi yuḥanna yusa dd ɣarwem deg webrid n t,wenni ḍ amezwaru yasuɛ inna asen s tidett necc ad awem iniɣ aqa ayt n ddariba ḍ temɣarin n farq ccɣer ad awem izwaren ɣar tgeldit n arebbi minzi yuḥanna yusa dd ɣarwem deg webrid n t
REC114_SEG0021_PART02,train,segda kenniw war zzayes tuminem maca ayt n ḍḍariba ḍ temɣarin n farq ccɣer aqa niṭni umnen zzayes rami ṭezrim man aya war tetubem ca ɣar uneggaru maḥend ad zzayes tamnem,segda kenniw war zzayes tuminem maca ayt n ddariba ḍ temɣarin n farq ccɣer aqa niṭni umnen zzayes rami ṭezrim man aya war tetubem ca ɣar uneggaru maḥend ad zzayes tamnem
