segment_id,recording_id,speaker_group_id,dataset_split,duration_seconds,audio_path,review_status,transcription,final_selection
REC010_SEG0001,REC010,SPK001,train,1.112,data/processed/segments/REC010/REC010_SEG0001.wav,included,iwa anebḍam,yes
REC010_SEG0002,REC010,SPK001,train,14.816,data/processed/segments/REC010/REC010_SEG0002.wav,included,saḥit wami tusim ḍa ɣa vidyu wis ɛecra gi vidyu ya anessiwer x iqbiren x uqbir anessiwer x iwḍan mizi gin iqbiren gi ṭemmura nneɣ ṭamuarṭ nneɣ,yes
REC010_SEG0003,REC010,SPK001,train,5.648,data/processed/segments/REC010/REC010_SEG0003.wav,included,x mux tirin x mux teggen iwḍan iqbiren ak wayawya,yes
REC010_SEG0004,REC010,SPK001,train,14.496,data/processed/segments/REC010/REC010_SEG0004.wav,included,u ɛaweḍ a nessiwar xmi tirin iqbiren mux teggen iwḍan azzun imukan nsen ḥema aḍgen ak wayawya aqbir u ɛaweḍ gi vidyu ya a nessiwer x ismawen minzi attas n iwḍan,yes
REC010_SEG0005,REC010,SPK001,train,12.256,data/processed/segments/REC010/REC010_SEG0005.wav,included,uɣren ci ḥemken teḥsaben ixefensen ḍ cey neṭnin ussinen ura ussinen waxxa ḍ ismawen n imezwura nsen ussinen ismawen n iwḍan n bara,yes
REC010_SEG0006,REC010,SPK001,train,6.728,data/processed/segments/REC010/REC010_SEG0006.wav,included,teftufen waha teggen zeg teggen ciki s ḍeɣyer xa zi mizi ḍas nniɣ adggeɣ vidyu ya ḥma,yes
REC010_SEG0007,REC010,SPK001,train,9.136,data/processed/segments/REC010/REC010_SEG0007.wav,included,ḥma aḍ ssnen iwḍan mux ḍas n qqan iwḍan gi ṭmura nneɣ ḍ iwḍan n bara,yes
REC010_SEG0008,REC010,SPK001,train,9.304,data/processed/segments/REC010/REC010_SEG0008.wav,included,u ɛawaḍ zi ssa agayta mara ṭufimay gi vidyawaṭ ya ssawareɣ s rebɛaḍ n wawaren wen tessinem ad tessnem mix qqaɣ awaren nni,yes
REC010_SEG0009,REC010,SPK001,train,9.752,data/processed/segments/REC010/REC010_SEG0009.wav,included,bac ataf zi ssa agayta udji aḍay ṭeqqam qa cek ussined ci lla ixessa aḍay ṭfahmem mizi qa rebɛaḍ wawaren gi vidyawaṭ a,yes
REC010_SEG0010,REC010,SPK001,train,4.752,data/processed/segments/REC010/REC010_SEG0010.wav,included,mix anessiwer x manaya waxxa eḍfamayd,yes
REC010_SEG0011,REC010,SPK001,train,6.352,data/processed/segments/REC010/REC010_SEG0011.wav,included,a rux necc ugiɣ ad ssiwreɣ x ṭamezgarut n iwḍan qqaɛ,yes
REC010_SEG0012,REC010,SPK001,train,9.168,data/processed/segments/REC010/REC010_SEG0012.wav,included,rux waxxa umnaɣ zi ad nni umnaɣ reqwaḍ ni udji bu ḍ cɣer inu necc ussiwereɣ ci x rweqt n adam wami ɣa,yes
REC010_SEG0013,REC010,SPK001,train,9.008,data/processed/segments/REC010/REC010_SEG0013.wav,included,niɣ reqwad wami ɣa bḍan iwḍan lla necc mix iɣa ssiwreɣ necc aḍ ssiwreɣ x mux bḍan iwḍan gi ṭmura nneɣ,yes
REC010_SEG0014,REC010,SPK001,train,4.656,data/processed/segments/REC010/REC010_SEG0014.wav,included,fahmeḍ udji ci anaḥ a ṭamezgarut qqaɛ waxxa,yes
REC010_SEG0015,REC010,SPK001,train,11.888,data/processed/segments/REC010/REC010_SEG0015.wav,included,ṭimura nneɣ ira exxrant ṭammurṭ nneɣ ira ṭexxra amezgaru ira ḍin ira ḍin rebḥa ira ḍin ejdi ira ḍin rɣabeṭ ira ḍin rebɛad n ṭimura tibatayin ayenni waha,yes
REC010_SEG0016,REC010,SPK001,train,4.944,data/processed/segments/REC010/REC010_SEG0016.wav,included,xa mizi ibedda mizi ibedda,yes
REC010_SEG0017,REC010,SPK001,train,14.328,data/processed/segments/REC010/REC010_SEG0017.wav,included,ijjen qumn ijjen n marka n iwḍan beddan s familiyaṭ i gixran tammurṭ nneɣni waxxa tiri n familiyaṭ rbɛad n swayeɛ s iḥamucen rbɛad n swayeɛ s bra iḥamucen,yes
REC010_SEG0018,REC010,SPK001,train,10.928,data/processed/segments/REC010/REC010_SEG0018.wav,included,ggʷan zi gi ijjen n ṭammurṭ mizi tafen ḍin amenɣi tafen ḍin itwekkes erqanun tafen iwḍan nni twaddjen tusma yqeɛsen ddec xa,yes
REC010_SEG0019,REC010,SPK001,train,8.136,data/processed/segments/REC010/REC010_SEG0019.wav,included,niɣ qebren zi ddec uxa tafen neṭnin s ixefessen uzemma aḍ din iɛicen niɣ aḍ ɛicen ɛad ṭawa nsen uxa xedjan ṭammurṭ nni,yes
REC010_SEG0020,REC010,SPK001,train,8.464,data/processed/segments/REC010/REC010_SEG0020.wav,included,rux ṭammurṭ nneɣ imekken umi ira uḍin ḍi bu iwḍan ira ḍin ɣa ruḥuc waha ḍ ufin familyaṭ nni imezgura wami ammen ḍa i ɣa neqqim ṭamurt ṭtabbaḥṭ,yes
REC010_SEG0021,REC010,SPK001,train,8.24,data/processed/segments/REC010/REC010_SEG0021.wav,included,udsen nnaneɣ eɣzan yuḍsaneɣ rebḥa manis ḍ ɣa negma u safi,yes
REC010_SEG0022,REC010,SPK001,train,14.536,data/processed/segments/REC010/REC010_SEG0022.wav,included,uḍfen tammurṭ nni qa ta aɛemma n timmura ammen ituqiɛ waxxa familya tiri abas ḍ yemmas twasemma ṭamɣaṭ ḍ wagaz tejjand iḥamucen nsen rux mara din ɣa cin familyaṭ mrra,yes
REC010_SEG0023,REC010,SPK001,train,8.456,data/processed/segments/REC010/REC010_SEG0023.wav,included,teggen ṭarwa nsen tessarayend ṭarwa nsen bac aḍ emsemraken amja ɣa ṭuqeɛ manayenni atiri familya tameqqrant,yes
REC010_SEG0024,REC010,SPK001,train,9.648,data/processed/segments/REC010/REC010_SEG0024.wav,included,anini udji ci ɣak abak ḍ yemmak waha lla ɣak ṭawa ɛzizek ṭawa n xwarek jwan jwan atafeḍasqend ɣak,yes
REC010_SEG0025,REC010,SPK001,train,5.904,data/processed/segments/REC010/REC010_SEG0025.wav,included,ci ijjen ssacet waxxa takkuḥt xa ammen iwḍan teggen familya ḍ tameqrant,yes
REC010_SEG0026,REC010,SPK001,train,10.512,data/processed/segments/REC010/REC010_SEG0026.wav,included,amji ɣafen ammen xa aqen mliḥ uṭen itriḍu ura ḍ ijj attas n familyaṭ timeqranin teggen mara dca amdji ɣa ggen dca,yes
