loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_wer,eval_cer,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,validation_loss,validation_wer,validation_cer,validation_runtime,validation_samples_per_second,validation_steps_per_second
9.5398,25.312150955200195,0.00048,0.22805017103762829,25,,,,,,,,,,,,,,,,,
2.6497,1.0511549711227417,0.00098,0.45610034207525657,50,,,,,,,,,,,,,,,,,
0.8297,0.9387262463569641,0.0009384615384615385,0.6841505131128849,75,,,,,,,,,,,,,,,,,
0.7309,7.926769733428955,0.0008743589743589744,0.9122006841505131,100,,,,,,,,,,,,,,,,,
,,,1.0,110,2.943674087524414,0.8843537414965986,0.44352439906744917,20.2708,6.364,3.207,,,,,,,,,,,
0.7096,0.9898964166641235,0.0008102564102564103,1.1368301026225769,125,,,,,,,,,,,,,,,,,
0.6917,0.8833814263343811,0.0007461538461538462,1.3648802736602053,150,,,,,,,,,,,,,,,,,
0.7026,0.7318044900894165,0.0006820512820512821,1.5929304446978336,175,,,,,,,,,,,,,,,,,
0.6627,0.6265565752983093,0.000617948717948718,1.8209806157354618,200,,,,,,,,,,,,,,,,,
,,,2.0,220,2.989370822906494,0.8660714285714286,0.4377361524238283,20.0602,6.431,3.24,,,,,,,,,,,
0.6497,1.2047721147537231,0.0005538461538461539,2.0456100342075256,225,,,,,,,,,,,,,,,,,
0.6274,0.6937708258628845,0.0004897435897435897,2.2736602052451538,250,,,,,,,,,,,,,,,,,
0.5998,0.6210963129997253,0.00042564102564102564,2.5017103762827824,275,,,,,,,,,,,,,,,,,
0.6223,0.8464192152023315,0.00036153846153846154,2.7297605473204105,300,,,,,,,,,,,,,,,,,
0.598,0.4285208284854889,0.00029743589743589743,2.9578107183580387,325,,,,,,,,,,,,,,,,,
,,,3.0,330,2.882991313934326,0.8707482993197279,0.435404775303481,20.103,6.417,3.233,,,,,,,,,,,
0.6286,0.5416491627693176,0.00023333333333333333,3.1824401368301025,350,,,,,,,,,,,,,,,,,
0.5975,0.5951892733573914,0.00016923076923076926,3.4104903078677307,375,,,,,,,,,,,,,,,,,
0.5677,0.8219422101974487,0.00010512820512820513,3.6385404789053593,400,,,,,,,,,,,,,,,,,
0.5993,0.5408118367195129,4.1025641025641023e-05,3.8665906499429874,425,,,,,,,,,,,,,,,,,
,,,4.0,440,2.975424289703369,0.8562925170068028,0.4343596752150494,19.9553,6.464,3.257,,,,,,,,,,,
,,,4.0,440,,,,,,,4196.1903,1.672,0.105,8.673818115787743e+18,1.2699071754108775,,,,,,
,,,4.0,440,,,,,,,,,,,,2.975424289703369,0.8562925170068028,0.4343596752150494,22.0216,5.858,2.952
