loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_wer,eval_cer,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,validation_loss,validation_wer,validation_cer,validation_runtime,validation_samples_per_second,validation_steps_per_second
12.1009,14.076774597167969,7.2e-06,0.22805017103762829,25,,,,,,,,,,,,,,,,,
10.8217,17.854650497436523,1.47e-05,0.45610034207525657,50,,,,,,,,,,,,,,,,,
6.1,8.882320404052734,2.22e-05,0.6841505131128849,75,,,,,,,,,,,,,,,,,
3.9173,5.1266398429870605,2.97e-05,0.9122006841505131,100,,,,,,,,,,,,,,,,,
,,,1.0,110,3.875505208969116,100.0,100.0,4.2938,30.043,15.138,,,,,,,,,,,
3.488,3.4310450553894043,2.907692307692308e-05,1.1368301026225769,125,,,,,,,,,,,,,,,,,
3.2678,2.278247356414795,2.8115384615384616e-05,1.3648802736602053,150,,,,,,,,,,,,,,,,,
3.154,2.0566797256469727,2.7153846153846154e-05,1.5929304446978336,175,,,,,,,,,,,,,,,,,
3.0608,2.2440226078033447,2.6192307692307694e-05,1.8209806157354618,200,,,,,,,,,,,,,,,,,
,,,2.0,220,3.3092901706695557,100.0,100.0,4.0901,31.54,15.892,,,,,,,,,,,
3.032,0.7429916262626648,2.523076923076923e-05,2.0456100342075256,225,,,,,,,,,,,,,,,,,
2.9885,0.6006942987442017,2.426923076923077e-05,2.2736602052451538,250,,,,,,,,,,,,,,,,,
2.9871,0.40561312437057495,2.330769230769231e-05,2.5017103762827824,275,,,,,,,,,,,,,,,,,
2.9608,0.5103544592857361,2.2346153846153847e-05,2.7297605473204105,300,,,,,,,,,,,,,,,,,
2.9438,0.7093695998191833,2.1384615384615387e-05,2.9578107183580387,325,,,,,,,,,,,,,,,,,
,,,3.0,330,3.258047103881836,100.0,100.0,3.9824,32.392,16.322,,,,,,,,,,,
,,,3.0,330,,,,,,,549.7755,25.523,1.601,1.7124415098444628e+18,4.6547625310493235,,,,,,
,,,3.0,330,,,,,,,,,,,,3.8755061626434326,100.0,100.0,4.1045,31.429,15.836
