loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_wer,eval_cer,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,validation_loss,validation_wer,validation_cer,validation_runtime,validation_samples_per_second,validation_steps_per_second
12.1,14.104850769042969,7.2e-06,0.22805017103762829,25,,,,,,,,,,,,,,,,,
10.779,17.81876564025879,1.47e-05,0.45610034207525657,50,,,,,,,,,,,,,,,,,
6.0601,8.866144180297852,2.22e-05,0.6841505131128849,75,,,,,,,,,,,,,,,,,
3.9169,5.121598243713379,2.97e-05,0.9122006841505131,100,,,,,,,,,,,,,,,,,
,,,1.0,110,3.8739013671875,100.0,100.0,4.1747,30.9,15.57,,,,,,,,,,,
3.4867,3.4094040393829346,2.907692307692308e-05,1.1368301026225769,125,,,,,,,,,,,,,,,,,
3.2673,2.2850558757781982,2.8115384615384616e-05,1.3648802736602053,150,,,,,,,,,,,,,,,,,
3.1539,2.0680415630340576,2.7153846153846154e-05,1.5929304446978336,175,,,,,,,,,,,,,,,,,
3.0605,2.256645441055298,2.6192307692307694e-05,1.8209806157354618,200,,,,,,,,,,,,,,,,,
,,,2.0,220,3.309227228164673,100.0,100.0,3.9737,32.463,16.357,,,,,,,,,,,
3.032,0.7183358669281006,2.523076923076923e-05,2.0456100342075256,225,,,,,,,,,,,,,,,,,
2.9885,0.5700541138648987,2.426923076923077e-05,2.2736602052451538,250,,,,,,,,,,,,,,,,,
2.9865,0.417767733335495,2.330769230769231e-05,2.5017103762827824,275,,,,,,,,,,,,,,,,,
2.9606,0.5113989114761353,2.2346153846153847e-05,2.7297605473204105,300,,,,,,,,,,,,,,,,,
2.9433,0.72500079870224,2.1384615384615387e-05,2.9578107183580387,325,,,,,,,,,,,,,,,,,
,,,3.0,330,3.2578024864196777,100.0,100.0,3.9646,32.538,16.395,,,,,,,,,,,
2.9481,0.5261082053184509,2.0423076923076925e-05,3.1824401368301025,350,,,,,,,,,,,,,,,,,
2.9426,0.3501970171928406,1.9461538461538462e-05,3.4104903078677307,375,,,,,,,,,,,,,,,,,
2.9149,1.1222480535507202,1.8500000000000002e-05,3.6385404789053593,400,,,,,,,,,,,,,,,,,
2.9063,0.638175368309021,1.753846153846154e-05,3.8665906499429874,425,,,,,,,,,,,,,,,,,
,,,4.0,440,3.254105567932129,100.0,100.0,3.9156,32.945,16.6,,,,,,,,,,,
2.8895,0.8426464796066284,1.6576923076923077e-05,4.091220068415051,450,,,,,,,,,,,,,,,,,
2.8522,0.5727608799934387,1.5615384615384618e-05,4.319270239452679,475,,,,,,,,,,,,,,,,,
2.7719,1.616546392440796,1.4653846153846153e-05,4.5473204104903076,500,,,,,,,,,,,,,,,,,
2.6999,0.7932533025741577,1.3692307692307692e-05,4.775370581527936,525,,,,,,,,,,,,,,,,,
2.6355,1.541897177696228,1.2730769230769231e-05,5.0,550,,,,,,,,,,,,,,,,,
,,,5.0,550,3.1986069679260254,99.95748299319727,93.28724173968969,3.9274,32.847,16.551,,,,,,,,,,,
2.5128,2.126720428466797,1.176923076923077e-05,5.228050171037628,575,,,,,,,,,,,,,,,,,
2.4383,1.3351949453353882,1.0807692307692307e-05,5.456100342075256,600,,,,,,,,,,,,,,,,,
2.3456,1.5781980752944946,9.846153846153846e-06,5.684150513112884,625,,,,,,,,,,,,,,,,,
2.2809,1.3358615636825562,8.884615384615385e-06,5.9122006841505135,650,,,,,,,,,,,,,,,,,
,,,6.0,660,3.2302956581115723,100.34013605442176,73.12484926441032,4.0256,32.045,16.147,,,,,,,,,,,
2.1873,1.4891268014907837,7.923076923076924e-06,6.136830102622577,675,,,,,,,,,,,,,,,,,
2.1013,1.5063152313232422,6.961538461538462e-06,6.364880273660205,700,,,,,,,,,,,,,,,,,
2.0715,1.5468559265136719,6e-06,6.592930444697833,725,,,,,,,,,,,,,,,,,
1.9813,1.5186307430267334,5.038461538461538e-06,6.820980615735461,750,,,,,,,,,,,,,,,,,
,,,7.0,770,3.2002792358398438,101.10544217687074,68.21287884878205,3.9096,32.996,16.626,,,,,,,,,,,
1.9705,1.6828409433364868,4.076923076923076e-06,7.045610034207526,775,,,,,,,,,,,,,,,,,
1.892,1.4676086902618408,3.1153846153846157e-06,7.273660205245154,800,,,,,,,,,,,,,,,,,
1.8693,1.4128371477127075,2.1538461538461538e-06,7.501710376282782,825,,,,,,,,,,,,,,,,,
1.8232,2.069234609603882,1.1923076923076923e-06,7.72976054732041,850,,,,,,,,,,,,,,,,,
1.844,2.125424385070801,2.3076923076923078e-07,7.957810718358039,875,,,,,,,,,,,,,,,,,
,,,8.0,880,3.1833982467651367,101.78571428571428,65.83326633973792,4.0042,32.216,16.233,,,,,,,,,,,
,,,8.0,880,,,,,,,1435.5079,9.775,0.613,4.566639967258468e+18,3.23827085386623,,,,,,
,,,8.0,880,,,,,,,,,,,,3.1833808422088623,101.78571428571428,65.81718787683897,4.0019,32.234,16.242
